1,1,"Baltais fosfors","Fosfors","Kristaaliska cieta viela ar kiploku smaku",4
2,2,"Fosfors","Fosfors","Kristaaliska cieta viela ar kiploku smaku",5
3,3,"Kristaliskais seers","Seers","Dzelteni kristaali",6
4,4,"Kristaliskais seers","Seers","Dzelteni kristaali",6
5,5,"Sarkanais Fosfors","Fosfors","Tumsi sarkana pulverveida viela bez smakas",2
6,6,"Sarkanais Fosfors","Fosfors","Tumsi sarkana pulverveida viela bez smakas",2
7,7,"Sarkanais Fosfors","Fosfors","Tumsi sarkana pulverveida viela bez smakas",2
8,8,"Baltais fosfors","Fosfors","Kristaaliska cieta viela ar kiploku smaku",2
9,9,"Baltais fosfors","Fosfors","Kristaaliska cieta viela ar kiploku smaku",2
10,10,"Baltais fosfors","Fosfors","Kristaaliska cieta viela ar kiploku smaku",1
11,11,"Baltais fosfors","Fosfors","Kristaaliska cieta viela ar kiploku smaku",1
12,12,"Kristaliskais seers","Seers","Dzelteni kristaali",3
13,13,"Kristaliskais seers","Seers","Dzelteni kristaali",3
