1, 1,3,1, 45.5,22, 45.5,21, 44.5,21, 46,19.5, 47.5,21, 46.5,21, 46.5,22, 45.5,22 |/
2, 1,3,1, 66,15,  66,13.5, 65,13.5, 67,12, 69,13.5, 68,13.5, 68,15, 66,15 |/
3, 1,3,1, 73.5,13.5, 73.5,12, 72.5,12, 74.5,10.5, 76.5,12, 75.5,12, 76.5,13.5, 73.5,13.5 |/
4, 1,3,1, 81,27, 81,26, 80,26, 82,24, 84,26, 83,26, 83,27, 81,27 |/
5, 1,3,1, 75,44, 75,42.5, 74,42.5, 76,40.5, 78,42.5, 77,42.5, 77,44, 75,44 |/
6, 1,3,1, 83.5,42.5, 83.5,41, 82.5,41, 84.5,39, 86.5,41, 85.5,41, 85.5,42.5, 83.5,42.5 |/
7, 1,3,1, 79.5,51, 79.5,49.5, 78,49.5, 81,47, 84,49.5, 82.5,49.5, 82.5,51, 79.5,51 |/
8, 1,3,1, 68,56.5, 68,55, 67,55, 69,53, 71,55, 70,55, 70,56.5, 68,56.5 |/
9, 1,3,1, 42.5,56, 42.5,54.5, 41.5,54.5, 43.5,52.5, 45.5,54.5, 44.5,54.5, 44.5,56, 42.5,56 |/
10, 1,3,1, 50,41.5, 50,40.5, 49,40.5, 51,38.5, 53,40.5, 52,40.5, 52,41.5, 50,41.5 |/
11, 1,3,1, 50,33, 50,32, 49,32, 51,30, 53,32, 52,32, 52,33, 50,33 |/
12, 1,3,1, 40,38.5, 40,37.5, 39,37.5, 41,36, 43,37.5, 42,37.5, 42,38.5, 40,38.5 |/
13, 1,3,1, 35.5,40.5, 35.5,39.5, 34.5,39.5, 36.5,38, 38.5,39.5, 37.5,39.5, 37.5,40.5, 35.5,40.5 |/
